Имя:       Ivan , возраст: 1
Имя:       Efim , возраст: 45
Имя:       Ivan , возраст: 25
Имя:       Petr , возраст: 11
Имя:       Efim , возраст: 5
Имя:       Efim , возраст: 25
Имя:       Ivan , возраст: 14
Имя:     Sergey , возраст: 35
Имя:     Sergey , возраст: 35
Имя:      Anton , возраст: 42
Имя:       Ivan , возраст: 37
После удаления
Имя:       Ivan , возраст: 1
Имя:       Efim , возраст: 45
Имя:       Ivan , возраст: 25
Имя:       Petr , возраст: 11
Имя:       Efim , возраст: 5
Имя:       Efim , возраст: 25
Имя:       Ivan , возраст: 14
Имя:       Ivan , возраст: 37
Имя:      Anton , возраст: 42
